name,borough_name,latitude,longitude,url,manual_frequency,keywords,frequency,keyword_frequency
,,51.5525949,0.05535975,http://oldmanorparklibrary.org/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.5370186,-0.123363013,https://www.agakhanlibrary.org/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0]",4
,,51.5994059,-0.19356325,https://www.barnet.gov.uk/libraries/find-your-local-library/finchley-church-end-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.5164699,-0.09932025,https://www.bartshealth.nhs.uk/archives-museums-art,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.4783269,0.08681875,http://www.better.org.uk/areas/greenwich/venues/slade-centre-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.4065399,0.02004275,https://www.better.org.uk/library/london/bromley/bromley-central-library,5,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.51817479,-0.07771992,http://www.bishopsgate.org.uk/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.5181859,-0.07770325,http://www.bishopsgate.org.uk/library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.5289299,-0.12534725,https://www.bl.uk/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[2, 1, 0, 0, 0, 0, 13, 3, 21, 0, 0, 0, 0, 0, 0, 0]",40
,,51.5019159,-0.38027925,https://www.brent.gov.uk/services-for-residents/libraries/libraries-in-brent/ealing-road-library/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.4736299,-0.03380425,https://www.ealing.gov.uk/info/201241/find_your_library/2404/southall_library_and_dominion_centre,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.49781923,-0.176736583,http://www.gold.ac.uk/make/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3
,,51.5257859,-0.07780325,https://www.hillingdon.gov.uk/article/8697/Uxbridge-Library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.5125859,-0.10790325,https://www.imperial.ac.uk/admin-services/library/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[2, 2, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 0, 0]",41
,,51.5069859,-0.27368125,http://www.iniva.org/library/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.5147859,-0.10900325,http://www.innertemplelibrary.org.uk/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.4947939,-0.11855525,http://www.iranianlibrary.org.uk/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",2
,,51.4952119,-0.11871725,http://www.kcl.ac.uk/visit/maughan-library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.5161859,-0.11306025,http://www.lambethpalacelibrary.org/,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
,,51.5068359,-0.13525325,https://www.lincolnsinn.org.uk/index.php/library,,"['child', 'children', 'kid', 'kids', 'baby', 'babies', 'family', 'families', 'play', 'rhyme', 'rhymes', 'toy', 'toys', 'craft', 'nursery', 'daycare']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
