MSOA11CD,MSOA11NM,geometry
E02000261,Ealing 024,POINT (521268.5600428909 180601.51988997348)
E02000262,Ealing 025,POINT (520204.7874780891 180382.5414345663)
E02000263,Ealing 026,POINT (512057.9065282779 180172.58488572986)
E02000264,Ealing 027,POINT (519074.2165636039 180243.0233502726)
E02000265,Ealing 028,POINT (516301.89245680196 180205.8836040426)
E02000266,Ealing 029,POINT (514141.2042683506 179943.46920795838)
E02000267,Ealing 030,POINT (515426.2969630824 179966.5037779511)
E02000268,Ealing 031,POINT (517989.18085166975 179833.51491107256)
E02000269,Ealing 032,POINT (517110.556512559 179801.11534380462)
E02000270,Ealing 033,POINT (519923.489561962 179634.95129818708)
E02000271,Ealing 034,POINT (521011.23205158126 179495.3881110576)
E02000272,Ealing 035,POINT (516060.91539681464 179218.49134182435)
E02000274,Ealing 037,POINT (511774.1241107973 179137.28204879403)
E02000275,Ealing 038,POINT (513076.3105432975 178919.33625279713)
E02000276,Ealing 039,POINT (517372.0026564857 178870.16331657386)
E02000277,Enfield 001,POINT (535921.8771306011 199517.215988175)
E02000278,Enfield 002,POINT (535206.2477507287 199136.98927614337)
E02000279,Enfield 003,POINT (536951.618017166 198922.90385243593)
E02000280,Enfield 004,POINT (531091.3584462247 199397.06622818892)
E02000281,Enfield 005,POINT (533925.7986675728 198199.68390315908)
E02000282,Enfield 006,POINT (535241.100814595 197988.95947601067)
E02000283,Enfield 007,POINT (535974.5394657719 197580.76516828756)
E02000284,Enfield 008,POINT (532413.2898918835 197317.23659455462)
E02000285,Enfield 009,POINT (533403.8827430446 197304.00947459703)
E02000286,Enfield 010,POINT (531456.9148715539 197407.0774636447)
E02000287,Enfield 011,POINT (527839.9168033758 197706.08466721806)
E02000288,Enfield 012,POINT (534907.9656421104 196514.08883286006)
E02000289,Enfield 013,POINT (530453.0309093427 196695.9719450469)
E02000290,Enfield 014,POINT (536755.5033855449 196474.42315699853)
E02000291,Enfield 015,POINT (533372.0543818991 195893.0135963949)
E02000292,Enfield 016,POINT (534157.4892456825 195876.45781636942)
E02000293,Enfield 017,POINT (531995.8565308206 195636.30692033193)
E02000294,Enfield 018,POINT (535892.1949579968 194996.58279510698)
E02000295,Enfield 019,POINT (530229.2160311388 195071.93037731462)
E02000296,Enfield 020,POINT (529285.6329729528 195314.4223123564)
E02000297,Enfield 021,POINT (532971.7964279088 194719.28502725036)
E02000298,Enfield 022,POINT (531267.3596893683 194431.85053427308)
E02000299,Enfield 023,POINT (534841.1787794664 194376.00746654393)
E02000300,Enfield 024,POINT (533985.4971440085 194283.97913998782)
E02000301,Enfield 025,POINT (536029.1698172329 193846.83420222212)
E02000302,Enfield 026,POINT (532201.0924197042 193546.9025733581)
E02000303,Enfield 027,POINT (533684.2443857365 193310.6537328193)
E02000304,Enfield 028,POINT (529978.5635833493 193260.25366927788)
E02000305,Enfield 029,POINT (531134.4947463565 193207.54001190333)
E02000306,Enfield 030,POINT (535237.5052777235 192871.87400528401)
E02000307,Enfield 031,POINT (532799.2288421287 192998.99680732717)
E02000308,Enfield 032,POINT (529282.7031084886 192382.7609305864)
E02000309,Enfield 033,POINT (534979.2741536795 192087.29726402363)
E02000311,Enfield 035,POINT (531933.261842821 192166.16237128866)
E02000312,Enfield 036,POINT (530580.7362909521 192211.51846210484)
E02000313,Greenwich 001,POINT (546863.7271851767 180293.13827557603)
E02000314,Greenwich 002,POINT (545740.4802367109 180154.63991864488)
E02000315,Greenwich 003,POINT (546779.2953360156 179322.17792877485)
E02000316,Greenwich 004,POINT (542623.1486888934 179028.66405779423)
E02000317,Greenwich 005,POINT (542504.6370036823 178648.02822748982)
E02000318,Greenwich 006,POINT (545590.9847647399 178670.6674652036)
E02000319,Greenwich 007,POINT (544771.5299943893 178668.84506035637)
E02000320,Greenwich 008,POINT (546898.8505947911 178203.17971997216)
E02000321,Greenwich 009,POINT (544343.3817502545 178406.66301238537)
E02000323,Greenwich 011,POINT (543855.5075077973 178141.59256712534)
E02000324,Greenwich 012,POINT (541761.9782664292 177896.06471001514)
E02000326,Greenwich 014,POINT (540859.5000061004 177806.4829971165)
E02000327,Greenwich 015,POINT (542957.2333577019 177635.35177466366)
E02000328,Greenwich 016,POINT (539930.590475556 177619.12819629494)
E02000329,Greenwich 017,POINT (544789.4188834737 176787.85960186514)
E02000331,Greenwich 019,POINT (541721.5184983826 177052.3840624086)
E02000332,Greenwich 020,POINT (543739.3684126401 176732.3115691962)
E02000333,Greenwich 021,POINT (540310.2428869563 176591.7128869822)
E02000334,Greenwich 022,POINT (541730.6560207038 176356.21489807268)
E02000335,Greenwich 023,POINT (543456.194879404 175667.96752569234)
E02000337,Greenwich 025,POINT (541978.4729295396 175262.99607442998)
E02000339,Greenwich 027,POINT (543119.9304332663 174968.48424033134)
E02000340,Greenwich 028,POINT (543596.8516972759 174128.650960367)
E02000341,Greenwich 029,POINT (541520.805039075 173942.83399973638)
E02000342,Greenwich 030,POINT (544540.3181266057 173717.75664994936)
E02000343,Greenwich 031,POINT (542808.4518467676 172615.80951668078)
E02000344,Greenwich 032,POINT (543711.4184417878 172433.13903719562)
E02000345,Hackney 001,POINT (533931.2561022048 187874.31741106982)
E02000346,Hackney 002,POINT (532379.8851250948 187512.80276677696)
E02000347,Hackney 003,POINT (533029.5271200472 187456.1926809144)
E02000348,Hackney 004,POINT (534075.8485572285 187456.70759745492)
E02000350,Hackney 006,POINT (534063.3143468434 186770.69127873436)
E02000351,Hackney 007,POINT (531990.9208867522 186778.57884336912)
E02000352,Hackney 008,POINT (532809.4346237356 186602.11417835028)
