MSOA11CD,library_name_sum,filtered_library_name_sum,keyword_frequency_sum
E02000583,12,6.0,13.0
E02000584,15,9.0,17.0
E02000585,12,7.0,14.0
E02000586,10,7.0,18.0
E02000587,12,8.0,15.0
E02000588,9,8.0,27.0
E02000589,9,8.0,19.0
E02000590,9,7.0,20.0
E02000591,10,8.0,19.0
E02000592,9,8.0,22.0
E02000593,9,7.0,17.0
E02000594,9,6.0,18.0
E02000595,11,7.0,20.0
E02000596,9,6.0,16.0
E02000597,9,5.0,14.0
E02000598,6,2.0,7.0
E02000599,6,2.0,7.0
E02000600,4,2.0,7.0
E02000601,5,2.0,7.0
E02000602,5,2.0,7.0
E02000603,5,2.0,7.0
E02000604,4,1.0,1.0
E02000605,6,3.0,8.0
E02000606,4,2.0,7.0
E02000607,5,2.0,7.0
E02000608,4,2.0,7.0
E02000609,6,2.0,2.0
E02000610,4,3.0,8.0
E02000611,5,3.0,8.0
E02000612,6,2.0,2.0
E02000613,3,2.0,2.0
E02000614,6,3.0,3.0
E02000615,3,2.0,2.0
E02000616,2,2.0,2.0
E02000617,1,1.0,1.0
E02000619,14,9.0,40.0
E02000620,14,9.0,40.0
E02000621,13,7.0,36.0
E02000622,12,7.0,38.0
E02000623,11,6.0,35.0
E02000624,10,5.0,31.0
E02000625,9,3.0,18.0
E02000626,9,4.0,34.0
E02000627,10,4.0,29.0
E02000628,9,4.0,34.0
E02000629,8,2.0,11.0
E02000630,8,1.0,9.0
E02000631,9,5.0,43.0
E02000632,8,1.0,9.0
E02000633,7,3.0,27.0
E02000634,8,1.0,9.0
E02000635,10,5.0,36.0
E02000636,7,1.0,9.0
E02000637,6,2.0,11.0
E02000638,6,2.0,11.0
E02000639,6,2.0,11.0
E02000640,6,1.0,9.0
E02000641,5,2.0,11.0
E02000642,7,4.0,23.0
E02000643,3,1.0,2.0
E02000644,3,2.0,7.0
E02000645,5,2.0,7.0
E02000646,3,1.0,2.0
E02000647,4,2.0,7.0
E02000648,4,2.0,7.0
E02000649,5,1.0,2.0
E02000650,3,2.0,7.0
E02000651,4,1.0,2.0
E02000652,5,0.0,0.0
E02000653,10,5.0,27.0
E02000654,8,3.0,19.0
E02000655,10,5.0,34.0
E02000657,9,3.0,13.0
E02000658,9,5.0,28.0
E02000659,11,4.0,13.0
E02000660,8,2.0,4.0
E02000661,10,3.0,11.0
E02000662,8,3.0,13.0
E02000663,10,3.0,12.0
E02000664,11,4.0,13.0
E02000665,8,3.0,11.0
E02000666,11,4.0,13.0
E02000667,8,2.0,3.0
E02000668,7,2.0,9.0
E02000669,8,3.0,11.0
E02000670,6,3.0,11.0
E02000671,7,1.0,2.0
E02000672,8,3.0,11.0
E02000673,8,3.0,14.0
E02000674,7,2.0,9.0
E02000675,9,2.0,9.0
E02000676,5,1.0,2.0
E02000677,9,3.0,11.0
E02000678,9,2.0,9.0
E02000679,7,3.0,9.0
E02000680,5,1.0,5.0
E02000681,7,3.0,5.0
E02000682,7,1.0,1.0
E02000683,7,1.0,1.0
E02000685,7,3.0,9.0
E02000686,9,2.0,3.0
E02000687,6,2.0,7.0
E02000689,6,1.0,3.0
E02000690,5,0.0,0.0
E02000691,6,1.0,3.0
E02000692,4,0.0,0.0
E02000693,6,1.0,3.0
E02000694,6,1.0,3.0
E02000695,5,1.0,3.0
E02000696,4,1.0,3.0
E02000697,5,1.0,3.0
E02000698,4,0.0,0.0
E02000699,4,0.0,0.0
E02000700,5,1.0,3.0
E02000701,5,1.0,3.0
E02000702,8,2.0,4.0
E02000703,6,1.0,3.0
E02000704,5,0.0,0.0
E02000705,3,0.0,0.0
E02000706,5,1.0,3.0
E02000707,5,1.0,1.0
E02000708,6,1.0,1.0
E02000709,7,1.0,1.0
E02000710,8,2.0,4.0
E02000711,7,1.0,3.0
E02000712,5,0.0,0.0
E02000713,7,1.0,1.0
E02000714,10,4.0,12.0
E02000715,8,7.0,14.0
E02000716,10,7.0,17.0
E02000717,8,6.0,13.0
E02000718,8,6.0,10.0
E02000719,10,3.0,9.0
E02000720,10,4.0,9.0
E02000721,9,3.0,8.0
E02000722,8,1.0,1.0
E02000723,10,7.0,14.0
E02000724,8,5.0,11.0
E02000725,8,1.0,15.0
E02000726,12,5.0,24.0
E02000727,7,3.0,5.0
E02000728,7,6.0,10.0
E02000729,8,2.0,2.0
E02000730,7,3.0,5.0
E02000731,10,5.0,8.0
E02000732,7,3.0,5.0
E02000733,6,1.0,1.0
E02000734,6,1.0,1.0
E02000735,8,3.0,3.0
E02000736,8,5.0,8.0
E02000737,9,5.0,8.0
E02000738,6,1.0,1.0
E02000739,7,2.0,2.0
E02000740,8,3.0,18.0
E02000741,7,2.0,2.0
E02000742,7,3.0,3.0
E02000743,6,3.0,5.0
E02000744,6,2.0,2.0
E02000745,7,2.0,2.0
E02000746,8,3.0,4.0
E02000747,7,4.0,20.0
E02000748,5,1.0,1.0
E02000749,5,1.0,1.0
E02000750,9,4.0,7.0
E02000751,7,5.0,51.0
E02000752,4,3.0,9.0
E02000753,2,2.0,8.0
E02000754,3,2.0,8.0
E02000755,3,2.0,8.0
E02000756,5,4.0,13.0
E02000757,6,4.0,16.0
E02000758,5,4.0,16.0
E02000759,4,3.0,12.0
E02000760,3,2.0,8.0
E02000762,3,2.0,8.0
E02000763,8,6.0,19.0
E02000764,10,6.0,24.0
E02000765,4,3.0,10.0
E02000767,5,4.0,12.0
E02000768,8,5.0,23.0
E02000769,6,3.0,10.0
E02000770,7,6.0,20.0
E02000772,7,4.0,14.0
E02000773,6,5.0,14.0
E02000774,5,5.0,16.0
E02000776,6,6.0,14.0
E02000777,13,8.0,24.0
E02000779,7,7.0,18.0
E02000780,8,8.0,19.0
E02000781,7,6.0,15.0
E02000782,8,8.0,16.0
E02000783,8,8.0,16.0
E02000784,8,3.0,4.0
E02000785,9,3.0,4.0
E02000786,5,0.0,0.0
E02000787,6,2.0,3.0
E02000788,5,1.0,2.0
E02000789,6,2.0,3.0
E02000790,5,2.0,3.0
E02000791,6,2.0,3.0
E02000792,5,2.0,3.0
E02000793,6,3.0,3.0
E02000794,8,3.0,4.0
E02000795,11,3.0,9.0
E02000796,7,3.0,3.0
E02000797,8,2.0,3.0
E02000798,6,1.0,1.0
E02000799,6,0.0,0.0
E02000800,7,2.0,3.0
E02000801,8,1.0,1.0
E02000802,5,1.0,1.0
E02000803,4,1.0,1.0
E02000804,8,2.0,7.0
E02000805,7,2.0,7.0
E02000806,7,2.0,7.0
E02000807,10,5.0,41.0
E02000808,19,12.0,102.0
E02000809,14,10.0,121.0
E02000810,8,7.0,52.0
E02000812,13,10.0,101.0
E02000813,11,6.0,48.0
E02000814,10,5.0,23.0
E02000815,11,9.0,95.0
E02000816,7,6.0,48.0
E02000817,8,4.0,32.0
E02000818,11,7.0,40.0
E02000819,10,8.0,56.0
E02000820,11,7.0,34.0
E02000821,10,7.0,47.0
E02000822,11,8.0,49.0
E02000823,12,8.0,49.0
E02000824,11,7.0,57.0
E02000825,10,6.0,48.0
E02000826,10,6.0,48.0
E02000827,13,8.0,52.0
E02000828,9,5.0,41.0
E02000829,9,6.0,43.0
E02000830,10,6.0,49.0
E02000831,10,5.0,40.0
E02000832,9,4.0,29.0
E02000833,9,5.0,43.0
E02000834,8,4.0,29.0
E02000835,9,3.0,18.0
E02000836,6,3.0,27.0
E02000837,9,5.0,34.0
E02000838,7,3.0,14.0
E02000839,5,2.0,7.0
E02000840,6,0.0,0.0
E02000841,5,0.0,0.0
E02000842,6,0.0,0.0
E02000843,4,0.0,0.0
E02000844,5,0.0,0.0
E02000845,6,1.0,1.0
E02000846,5,0.0,0.0
E02000847,5,1.0,1.0
E02000848,4,0.0,0.0
E02000849,4,0.0,0.0
E02000850,8,2.0,3.0
E02000851,5,0.0,0.0
E02000852,6,0.0,0.0
E02000853,3,0.0,0.0
E02000854,6,0.0,0.0
E02000855,4,0.0,0.0
E02000856,4,1.0,2.0
E02000857,3,0.0,0.0
E02000858,5,2.0,4.0
E02000859,4,0.0,0.0
E02000860,3,0.0,0.0
E02000861,4,0.0,0.0
E02000863,5,2.0,3.0
E02000864,7,3.0,20.0
E02000865,12,7.0,50.0
E02000866,10,6.0,47.0
E02000867,7,3.0,19.0
E02000868,12,6.0,48.0
E02000869,15,8.0,51.0
E02000870,11,6.0,45.0
E02000871,6,4.0,20.0
E02000872,13,7.0,49.0
E02000873,8,4.0,40.0
E02000874,10,5.0,43.0
E02000875,6,4.0,20.0
E02000876,12,7.0,59.0
E02000877,8,4.0,39.0
E02000878,13,7.0,99.0
E02000879,9,4.0,47.0
E02000880,9,4.0,34.0
E02000881,6,4.0,20.0
E02000882,9,5.0,48.0
E02000883,6,4.0,20.0
E02000884,12,7.0,55.0
E02000885,8,3.0,32.0
E02000886,10,5.0,48.0
E02000887,8,4.0,20.0
E02000888,11,6.0,44.0
E02000889,13,8.0,67.0
E02000890,14,9.0,120.0
E02000891,9,4.0,7.0
E02000893,7,3.0,6.0
E02000894,10,4.0,15.0
E02000895,4,3.0,43.0
E02000896,4,3.0,43.0
E02000897,6,5.0,51.0
E02000898,6,4.0,47.0
E02000899,5,3.0,43.0
E02000900,8,2.0,33.0
E02000901,9,6.0,55.0
E02000902,6,3.0,40.0
E02000903,8,2.0,33.0
E02000904,7,4.0,41.0
E02000905,6,2.0,33.0
E02000906,4,1.0,4.0
E02000907,6,2.0,11.0
E02000908,10,3.0,7.0
E02000909,9,5.0,20.0
E02000910,4,1.0,4.0
E02000911,4,1.0,4.0
E02000912,9,4.0,11.0
E02000913,8,3.0,12.0
E02000914,8,2.0,8.0
E02000915,10,5.0,23.0
E02000916,6,3.0,7.0
E02000917,6,1.0,4.0
E02000918,9,3.0,12.0
E02000919,7,2.0,8.0
E02000920,9,3.0,10.0
E02000921,9,3.0,12.0
E02000922,9,4.0,13.0
E02000923,13,7.0,20.0
E02000924,14,6.0,22.0
E02000925,8,2.0,8.0
E02000926,10,3.0,10.0
E02000927,7,1.0,6.0
E02000928,5,1.0,2.0
E02000929,8,2.0,8.0
E02000930,9,1.0,6.0
E02000931,7,0.0,0.0
E02000932,11,1.0,2.0
E02000933,7,0.0,0.0
E02000934,10,1.0,2.0
E02000935,3,0.0,0.0
E02000936,6,1.0,2.0
E02000937,9,0.0,0.0
E02000938,6,0.0,0.0
E02000939,8,0.0,0.0
E02000940,7,0.0,0.0
E02000941,9,0.0,0.0
E02000942,8,1.0,2.0
E02000943,7,0.0,0.0
E02000944,6,0.0,0.0
E02000945,4,0.0,0.0
E02000946,9,0.0,0.0
E02000947,6,0.0,0.0
E02000948,7,1.0,3.0
E02000949,9,1.0,3.0
E02000950,6,0.0,0.0
E02000951,5,0.0,0.0
E02000952,4,0.0,0.0
